Date,Symbol,Order,Shares
2010-02-09,IBM,BUY,100
2010-02-17,IBM,SELL,100
2010-04-22,IBM,BUY,100
2010-04-29,IBM,SELL,100
2010-05-05,IBM,BUY,100
2010-05-12,IBM,SELL,100
2010-05-13,IBM,SELL,100
2010-05-20,IBM,BUY,100
2010-07-01,IBM,BUY,100
2010-07-09,IBM,SELL,100
2010-07-14,IBM,SELL,100
2010-07-21,IBM,BUY,100
2010-08-30,IBM,BUY,100
2010-09-07,IBM,SELL,100
2010-11-05,IBM,SELL,100
2010-11-12,IBM,BUY,100
2010-12-02,IBM,SELL,100
2010-12-09,IBM,BUY,100
2010-12-20,IBM,SELL,100
2010-12-28,IBM,BUY,100
2010-12-31,IBM,SELL,100
